SGDID	GeneID	Alias	GO Term
YCR049C	YCR049C	-	GO:0003674,GO:0005575,GO:0008150,SO:0000704
YCR048W	ARE1	ARE1,SAT2	GO:0005783,GO:0005783,GO:0016125,GO:0034737,GO:0034738,GO:0034738,SO:0000704
YCR050C	YCR050C	-	GO:0003674,GO:0005575,GO:0008150,SO:0000704
YCR051W	YCR051W	-	GO:0003674,GO:0005634,GO:0005737,GO:0008150,SO:0000704
YCR052W	RSC6	RSC6	GO:0005198,GO:0006337,GO:0006338,GO:0016584,GO:0016586,GO:0016586,GO:0032968,SO:0000704
YCR053W	THR4	THR4	GO:0004795,GO:0005634,GO:0005737,GO:0005737,GO:0009088,SO:0000704
YCR054C	CTR86	CTR86	GO:0003674,GO:0005634,GO:0005737,GO:0005737,GO:0008150,SO:0000704
YCR057C	PWP2	PWP2,UTP1,YCR055C,YCR058C	GO:0000447,GO:0000447,GO:0000447,GO:0000462,GO:0000472,GO:0000472,GO:0000472,GO:0000480,GO:0000480,GO:0000480,GO:0000920,GO:0003729,GO:0005730,GO:0005730,GO:0005737,GO:0030010,GO:0030686,GO:0030686,GO:0032040,GO:0034388,GO:0034388,SO:0000704
YCR059C	YIH1	YIH1	GO:0001933,GO:0003785,GO:0004860,GO:0005634,GO:0005737,GO:0043022,GO:1905538,SO:0000704
YCR060W	TAH1	TAH1	GO:0000492,GO:0005634,GO:0005737,GO:0006457,GO:0006457,GO:0006457,GO:0051087,GO:0051087,GO:0051087,GO:0097255,GO:0097255,SO:0000704
YCR061W	TVS1	TVS1,YCR062W	GO:0003674,GO:0005737,GO:0008361,SO:0000704
YCR064C	YCR064C	-	GO:0003674,GO:0005575,GO:0008150,SO:0000704
YCR063W	BUD31	BUD31,CWC14	GO:0000282,GO:0000398,GO:0000398,GO:0003674,GO:0005634,GO:0005686,SO:0000704
YCR065W	HCM1	HCM1	GO:0000785,GO:0003700,GO:0003700,GO:0005634,GO:0005634,GO:0005737,GO:0005739,GO:0007005,GO:0034246,GO:0034599,GO:0043565,GO:0045944,GO:0051300,GO:1903108,SO:0000704
YCR066W	RAD18	RAD18	GO:0000785,GO:0003697,GO:0003697,GO:0005634,GO:0006513,GO:0017116,GO:0042275,GO:0042275,GO:0042276,GO:0042276,GO:0070987,GO:0097505,SO:0000704
YCR067C	SED4	SED4	GO:0003400,GO:0005096,GO:0005737,GO:0030176,GO:0043547,GO:0043547,SO:0000704
YCR068W	ATG15	ATG15,AUT5,CVT17	GO:0000425,GO:0004620,GO:0004620,GO:0005775,GO:0005783,GO:0006624,GO:0006624,GO:0006660,GO:0006660,GO:0006914,GO:0006914,GO:0006914,GO:0006914,GO:0016021,GO:0030397,GO:0030397,GO:0034496,GO:0034727,GO:0046461,SO:0000704
YCR069W	CPR4	CPR4,CYP4,SCC3,YCR070W	GO:0000324,GO:0003755,GO:0008150,SO:0000704
YCR071C	IMG2	IMG2,mL49	GO:0003735,GO:0005739,GO:0005739,GO:0005762,GO:0032543,SO:0000704
YCR072C	RSA4	RSA4	GO:0000027,GO:0003674,GO:0005730,GO:0110136,SO:0000704
YCR073C	SSK22	SSK22	GO:0000161,GO:0000161,GO:0000161,GO:0004672,GO:0004709,GO:0005575,GO:0006468,SO:0000704
YCR073W-A	SOL2	SOL2,YCRX13W	GO:0003674,GO:0005737,GO:0005829,GO:0006409,SO:0000704
YCR075C	ERS1	ERS1	GO:0000324,GO:0000324,GO:0005768,GO:0005886,GO:0015184,GO:0015811,GO:0015811,SO:0000704
YCR075W-A	EGO2	EGO2	GO:0000329,GO:0003674,GO:0038202,GO:0071986,GO:0072665,SO:0000704
YCR076C	FUB1	FUB1	GO:0005575,GO:0008150,GO:0070628,SO:0000704
YCR077C	PAT1	PAT1,MRT1	GO:0000290,GO:0000290,GO:0000776,GO:0000932,GO:0000932,GO:0001731,GO:0003682,GO:0003723,GO:0003729,GO:0003729,GO:0005515,GO:0005634,GO:0005737,GO:0005737,GO:0006446,GO:0010494,GO:0022627,GO:0033962,GO:0033962,GO:0045947,GO:0045947,GO:1990726,SO:0000704
YCR079W	PTC6	PTC6,AUP1,PPP2	GO:0000422,GO:0004722,GO:0004741,GO:0004741,GO:0005739,GO:0005739,GO:0005758,GO:0005759,GO:0006470,GO:0016236,GO:0070262,GO:1901524,GO:1904184,SO:0000704
YCR081W	SRB8	SRB8,GIG1,MED12,NUT6,SSN5,YCR080W	GO:0000122,GO:0000411,GO:0003713,GO:0003713,GO:0016592,GO:0016592,GO:0045944,SO:0000704
YCR081C-A	YCR081C-A	-	GO:0003674,GO:0005575,GO:0008150,SO:0000704
YCR082W	AHC2	AHC2	GO:0005634,GO:0005737,GO:0016573,GO:0140110,GO:0140671,GO:0140671,SO:0000704
YCR083W	TRX3	TRX3	GO:0005739,GO:0005739,GO:0005739,GO:0005739,GO:0015036,GO:0034599,SO:0000704
YCR084C	TUP1	TUP1,AAR1,AER2,AMM1,CRT4,CYC9,FLK1,ROX4,SFL2,UMR7	GO:0000122,GO:0000122,GO:0000122,GO:0000122,GO:0000433,GO:0001198,GO:0003714,GO:0003714,GO:0005634,GO:0006357,GO:0016584,GO:0017053,GO:0036033,GO:0036033,GO:0042393,GO:0042826,GO:0042826,GO:0043486,GO:0045944,GO:0060256,GO:0080025,GO:1900192,GO:2000217,GO:2001020,SO:0000704
YCR085W	YCR085W	-	GO:0003674,GO:0005575,GO:0008150,SO:0000704
YCR086W	CSM1	CSM1	GO:0003674,GO:0005635,GO:0005730,GO:0033551,GO:0034503,GO:0045132,GO:0045143,GO:0045143,GO:0051455,GO:0070550,SO:0000704
YCR087W	YCR087W	-	GO:0003674,GO:0005575,GO:0008150,SO:0000704
YCR087C-A	YCR087C-A	-	GO:0003674,GO:0005730,GO:0008150,SO:0000704
YCR088W	ABP1	ABP1	GO:0000147,GO:0005737,GO:0005938,GO:0030479,GO:0030479,GO:0030479,GO:0043332,GO:0044379,GO:0044379,GO:0044379,GO:0051015,GO:0051016,GO:2000601,SO:0000704
YCR089W	FIG2	FIG2	GO:0000753,GO:0000755,GO:0001403,GO:0003674,GO:0005937,GO:0009277,GO:0044182,GO:0071944,SO:0000704
YCR090C	YCR090C	-	GO:0003674,GO:0005634,GO:0005737,GO:0008150,SO:0000704
YCR091W	KIN82	KIN82,FPK2	GO:0000749,GO:0000749,GO:0004672,GO:0005575,GO:0006468,GO:0006468,GO:0045332,SO:0000704
YCR092C	MSH3	MSH3	GO:0000403,GO:0000404,GO:0000406,GO:0000710,GO:0000735,GO:0000735,GO:0005634,GO:0005737,GO:0006298,GO:0006298,GO:0006310,GO:0006312,GO:0030983,GO:0032135,GO:0032302,GO:0043111,SO:0000704
YCR093W	CDC39	CDC39,NOT1,ROS1,SMD6	GO:0000288,GO:0000288,GO:0000289,GO:0000749,GO:0001671,GO:0005634,GO:0005737,GO:0006357,GO:0006368,GO:0006368,GO:0007124,GO:0010607,GO:0010607,GO:0030015,GO:0032968,GO:0051726,SO:0000704
YCR094W	CDC50	CDC50	GO:0005783,GO:0005802,GO:0006886,GO:0006897,GO:0015247,GO:0031902,GO:0042147,GO:0045332,GO:0051666,GO:1990530,SO:0000704
YCR095C	OCA4	OCA4	GO:0003674,GO:0005737,GO:0008150,SO:0000704
YCR095W-A	YCR095W-A	-	GO:0003674,GO:0005575,GO:0008150,SO:0000704
YCR096C	HMRA2	HMRA2,A2	GO:0005575,GO:0008150,SO:0000704
YCR097W	HMRA1	HMRA1,YCR097WB	GO:0003714,GO:0005634,GO:0007532,SO:0000704
YCR097W-A	YCR097W-A	-	GO:0003674,GO:0005575,GO:0008150,SO:0000704
YCR098C	GIT1	GIT1	GO:0000324,GO:0001406,GO:0001406,GO:0001407,GO:0001407,GO:0005886,GO:0005886,GO:0015169,GO:0015169,GO:0015794,GO:0015794,GO:0055085,GO:0071944,SO:0000704
YCR099C	YCR099C	-	GO:0003674,GO:0005575,GO:0008150,SO:0000704
YCR100C	EMA35	EMA35	GO:0003674,GO:0008150,GO:0016021,SO:0000704
YCR101C	YCR101C	-	GO:0000324,GO:0003674,GO:0008150,GO:0016020,SO:0000704
YCR102C	YCR102C	-	GO:0003674,GO:0005575,GO:0046688,GO:0071468,SO:0000704
YCR102W-A	YCR102W-A	-	GO:0003674,GO:0005575,GO:0008150,SO:0000704
YCR104W	PAU3	PAU3	GO:0003674,GO:0005575,GO:0008150,SO:0000704
YCR105W	ADH7	ADH7,ADHVII	GO:0005575,GO:0006066,GO:0008106,SO:0000704
YCR106W	RDS1	RDS1	GO:0005575,GO:0009410,GO:0043565,SO:0000704
YCR107W	AAD3	AAD3	GO:0005575,GO:0006081,GO:0047681,SO:0000704
YCR108C	YCR108C	-	GO:0003674,GO:0005575,GO:0008150,SO:0000704
YDL248W	COS7	COS7	GO:0000324,GO:0005739,GO:0005739,GO:0005768,GO:0038024,GO:0043328,SO:0000704
YDL247W-A	YDL247W-A	-	GO:0003674,GO:0005575,GO:0008150,SO:0000704
YDL247W	MPH2	MPH2	GO:0005363,GO:0008643,GO:0055085,GO:0071944,SO:0000704
YDL246C	SOR2	SOR2	GO:0003939,GO:0003939,GO:0005575,GO:0019318,SO:0000704
YDL245C	HXT15	HXT15,HLT2	GO:0005353,GO:0005355,GO:0008645,GO:0015578,GO:0015795,GO:0015797,GO:0071944,GO:1902341,SO:0000704
YDL244W	THI13	THI13	GO:0003674,GO:0005575,GO:0009228,SO:0000704
YDL243C	AAD4	AAD4	GO:0005575,GO:0006081,GO:0047681,GO:0047681,SO:0000704
YDL242W	YDL242W	-	GO:0003674,GO:0005575,GO:0008150,SO:0000704
YDL241W	YDL241W	-	GO:0003674,GO:0005783,GO:0008150,SO:0000704
YDL240C-A	YDL240C-A	-	GO:0003674,GO:0005575,GO:0008150,SO:0000704
YDL240W	LRG1	LRG1	GO:0000131,GO:0000755,GO:0000755,GO:0005096,GO:0005737,GO:0005739,GO:0005739,GO:0005934,GO:0005935,GO:0005935,GO:0005935,GO:0030427,GO:0035024,GO:0035024,GO:0035024,GO:0043332,GO:0043547,GO:0060237,GO:0060237,GO:0060237,GO:0090038,GO:0090038,GO:0090334,SO:0000704
YDL239C	ADY3	ADY3	GO:0000001,GO:0000001,GO:0003674,GO:0005628,GO:0005628,GO:0005816,GO:0005816,GO:0005816,GO:0030435,GO:0030476,GO:0032120,GO:0070056,GO:0070056,GO:0070056,SO:0000704
YDL238C	GUD1	GUD1	GO:0005737,GO:0006147,GO:0008892,SO:0000704
YDL237W	AIM6	AIM6	GO:0003674,GO:0005575,GO:0008150,SO:0000704
YDL236W	PHO13	PHO13,4-nitrophenylphosphatase	GO:0004035,GO:0004721,GO:0005634,GO:0005737,GO:0006470,GO:0008967,GO:0016791,GO:0046838,SO:0000704
YDL235C	YPD1	YPD1	GO:0005634,GO:0005737,GO:0007234,GO:0007234,GO:0016772,GO:0043424,SO:0000704
YDL234C	GYP7	GYP7	GO:0005096,GO:0005096,GO:0005737,GO:0005829,GO:0016192,GO:0032889,SO:0000704
YDL233W	MFG1	MFG1	GO:0003674,GO:0005634,GO:0005737,GO:0008150,SO:0000704
YDL232W	OST4	OST4	GO:0005739,GO:0005789,GO:0006487,GO:0008250,GO:0030674,SO:0000704
YDL231C	BRE4	BRE4	GO:0003674,GO:0006897,GO:0071944,SO:0000704
YDL230W	PTP1	PTP1	GO:0001403,GO:0004725,GO:0005737,GO:0005739,GO:0005739,GO:0006470,GO:0006470,GO:0007124,SO:0000704
YDL229W	SSB1	SSB1,YG101	GO:0000054,GO:0002181,GO:0002181,GO:0005516,GO:0005737,GO:0005844,GO:0005844,GO:0005886,GO:0006364,GO:0006415,GO:0006450,GO:0006452,GO:0016887,GO:0042149,GO:0051082,GO:0051083,SO:0000704
YDL228C	YDL228C	-	GO:0003674,GO:0005575,GO:0008150,SO:0000704
YDL227C	HO	HO	GO:0004519,GO:0004519,GO:0005634,GO:0007533,GO:0007534,SO:0000704
YDL226C	GCS1	GCS1	GO:0003779,GO:0005096,GO:0005096,GO:0005768,GO:0005802,GO:0005829,GO:0005856,GO:0006888,GO:0006890,GO:0006890,GO:0030037,GO:0043001,SO:0000704
YDL225W	SHS1	SHS1,SEP7	GO:0000082,GO:0000144,GO:0000917,GO:0000921,GO:0005200,GO:0005200,GO:0005200,GO:0005525,GO:0005628,GO:0005935,GO:0005935,GO:0010458,GO:0032186,GO:0043332,GO:0061163,GO:0097271,GO:1903475,SO:0000704
YDL224C	WHI4	WHI4	GO:0003729,GO:0005737,GO:0008361,GO:0061157,SO:0000704
YDL223C	HBT1	HBT1	GO:0000753,GO:0003674,GO:0005886,GO:0005937,SO:0000704
YDL222C	FMP45	FMP45	GO:0003674,GO:0005739,GO:0005739,GO:0005886,GO:0005938,GO:0030437,GO:0031505,GO:0071944,SO:0000704
YDL221W	YDL221W	-	GO:0003674,GO:0005575,GO:0008150,SO:0000704
YDL220C	CDC13	CDC13,EST4	GO:0000723,GO:0000781,GO:0007004,GO:0007004,GO:0010521,GO:0016233,GO:0032210,GO:0032210,GO:0043047,GO:0043047,GO:0043047,GO:0043047,GO:0051974,GO:0061770,GO:0071166,GO:1990879,SO:0000704
YDL219W	DTD1	DTD1	GO:0005737,GO:0006399,GO:0051500,GO:0097358,GO:1900829,GO:1900832,SO:0000704
YDL218W	YDL218W	-	GO:0003674,GO:0005737,GO:0008150,SO:0000704
YDL217C	TIM22	TIM22	GO:0005198,GO:0005198,GO:0005739,GO:0005739,GO:0008320,GO:0030943,GO:0031305,GO:0042721,GO:0042721,GO:0045039,GO:0045039,GO:0045039,GO:0045039,SO:0000704
YDL216C	RRI1	RRI1,CSN5,JAB1	GO:0000338,GO:0000338,GO:0000338,GO:0000754,GO:0004222,GO:0008180,GO:0070452,SO:0000704
YDL215C	GDH2	GDH2,GDH-B,GDHB	GO:0004352,GO:0005739,GO:0005739,GO:0006807,SO:0000704
YDL214C	PRR2	PRR2	GO:0004672,GO:0005575,GO:0006468,GO:0031138,GO:0031138,GO:0046020,GO:0046020,SO:0000704
YDL213C	NOP6	NOP6	GO:0005730,GO:0005730,GO:0019843,GO:0030515,GO:0030686,GO:0030686,GO:0042274,SO:0000704
YDL212W	SHR3	SHR3,APF1	GO:0005783,GO:0006457,GO:0030176,GO:0030176,GO:0043332,GO:0051082,GO:0051082,GO:0090114,SO:0000704
YDL211C	YDL211C	-	GO:0000324,GO:0003674,GO:0008150,SO:0000704
YDL210W	UGA4	UGA4	GO:0000329,GO:0000329,GO:0015489,GO:0015495,GO:0015812,GO:0015812,GO:0015847,GO:0055085,SO:0000704
YDL209C	CWC2	CWC2,NTC40	GO:0000384,GO:0000386,GO:0000398,GO:0000974,GO:0017070,GO:0071006,GO:0071007,SO:0000704
YDL208W	NHP2	NHP2	GO:0000469,GO:0005730,GO:0005730,GO:0031118,GO:0031120,GO:0031120,GO:0031429,SO:0000704
YDL207W	GLE1	GLE1,BRR3,NLE2,RSS1	GO:0000822,GO:0005543,GO:0005643,GO:0005643,GO:0005737,GO:0005739,GO:0005739,GO:0006406,GO:0006409,GO:0006446,GO:0006449,GO:0008047,GO:0008047,GO:0008047,GO:0016973,GO:0016973,GO:0031369,GO:0044614,SO:0000704
YDL206W	YDL206W	-	GO:0000329,GO:0003674,GO:0008150,SO:0000704
YDL205C	HEM3	HEM3,OLE2	GO:0004418,GO:0004418,GO:0005634,GO:0005737,GO:0006783,GO:0006783,SO:0000704
YDL204W	RTN2	RTN2	GO:0003674,GO:0005634,GO:0005737,GO:0005783,GO:0032541,GO:0032581,GO:0034976,GO:0048309,GO:0071782,GO:0071786,GO:0071786,GO:0071786,GO:0071788,GO:0071944,SO:0000704
YDL203C	ACK1	ACK1	GO:0003674,GO:0005739,GO:0005739,GO:0009967,GO:0031505,SO:0000704
YDL202W	MRPL11	MRPL11,YmL11,uL10m	GO:0003735,GO:0005739,GO:0005739,GO:0005762,GO:0032543,SO:0000704
YDL201W	TRM8	TRM8	GO:0005634,GO:0008176,GO:0008176,GO:0106004,GO:0106004,GO:0106143,GO:0106143,GO:0106143,SO:0000704
YDL200C	MGT1	MGT1,MGMT	GO:0003908,GO:0003908,GO:0005634,GO:0006307,SO:0000704
YDL199C	YDL199C	-	GO:0000329,GO:0016020,GO:0022857,GO:0055085,SO:0000704
YDL198C	GGC1	GGC1,SHM1,YHM1	GO:0000002,GO:0001408,GO:0001409,GO:0005739,GO:0005739,GO:0006879,GO:0055085,SO:0000704
YDL197C	ASF2	ASF2	GO:0000781,GO:0003674,GO:0005634,GO:0005634,GO:0030466,SO:0000704
YDL196W	YDL196W	-	GO:0003674,GO:0005575,GO:0008150,SO:0000704
YDL195W	SEC31	SEC31,WEB1	GO:0005198,GO:0030127,GO:0043332,GO:0090114,GO:0090114,SO:0000704
YDL194W	SNF3	SNF3	GO:0005536,GO:0005886,GO:0005886,GO:0010255,GO:0015755,GO:0015761,GO:0045835,GO:0051594,GO:0051594,GO:0071944,GO:1904659,SO:0000704
YDL193W	NUS1	NUS1	GO:0005635,GO:0005783,GO:0005811,GO:0005811,GO:0005811,GO:0005811,GO:0006486,GO:0019408,GO:0045547,GO:1904423,SO:0000704
YDL192W	ARF1	ARF1	GO:0003924,GO:0005794,GO:0005794,GO:0005829,GO:0006888,GO:0006888,GO:0006893,GO:0006893,GO:0016236,GO:1903292,GO:1903358,SO:0000704
YDL191W	RPL35A	RPL35A,L29,L35A,SOS1,uL29	GO:0000463,GO:0002181,GO:0003735,GO:0022625,GO:0030687,SO:0000704
YDL190C	UFD2	UFD2	GO:0005634,GO:0005634,GO:0005737,GO:0006511,GO:0006511,GO:0016567,GO:0030433,GO:0031398,GO:0034450,GO:0070936,SO:0000704
YDL189W	RBS1	RBS1,[VTS1+]	GO:0003674,GO:0005634,GO:0005737,GO:0006012,GO:1990115,SO:0000704
YDL188C	PPH22	PPH22,PPH2	GO:0000082,GO:0000779,GO:0004722,GO:0004722,GO:0006417,GO:0006470,GO:0007015,GO:0007117,GO:0034399,GO:0070262,GO:0070262,GO:0070262,GO:1903432,GO:2000198,GO:2000786,SO:0000704
YDL187C	YDL187C	-	GO:0003674,GO:0005575,GO:0008150,SO:0000704
YDL186W	YDL186W	-	GO:0003674,GO:0005575,GO:0008150,SO:0000704
YDL185C-A	YDL185C-A	-	GO:0003674,GO:0005575,GO:0008150,SO:0000704
YDL185W	VMA1	VMA1,CLS8,TFP1	GO:0000221,GO:0000221,GO:0000221,GO:0000329,GO:0000329,GO:0003729,GO:0007035,GO:0007035,GO:0044267,GO:0046961,SO:0000704
YDL184C	RPL41A	RPL41A,L41A,L41e,L47A,RPL47A,YL41,eL41	GO:0002181,GO:0003735,GO:0022625,SO:0000704
YDL183C	MRX19	MRX19	GO:0003674,GO:0006813,GO:0031305,GO:1902600,SO:0000704
YDL182W	LYS20	LYS20	GO:0004410,GO:0004410,GO:0005634,GO:0005634,GO:0005739,GO:0005739,GO:0006281,GO:0019878,SO:0000704
YDL181W	INH1	INH1	GO:0004857,GO:0005739,GO:0005739,GO:0005739,GO:0032780,GO:0042030,SO:0000704
YDL180W	YDL180W	-	GO:0000324,GO:0000329,GO:0003674,GO:0008150,SO:0000704
YDL179W	PCL9	PCL9	GO:0000083,GO:0000131,GO:0000307,GO:0005935,GO:0016538,GO:0032878,GO:0032878,SO:0000704
YDL178W	DLD2	DLD2,AIP2	GO:0003779,GO:0004458,GO:0005739,GO:0005739,GO:0005759,GO:0051990,GO:0071949,GO:1903457,SO:0000704
YDL177C	YDL177C	-	GO:0003674,GO:0005575,GO:0008150,SO:0000704
YDL176W	IPF1	IPF1	GO:0000147,GO:0003674,GO:0005575,SO:0000704
YDL175C	AIR2	AIR2	GO:0003723,GO:0004652,GO:0004652,GO:0004652,GO:0005730,GO:0006400,GO:0030674,GO:0031499,GO:0031499,GO:0031499,GO:0034458,GO:0043629,GO:0043629,GO:0071031,GO:0071035,GO:0071035,GO:0071036,GO:0071037,GO:0071038,GO:0071038,GO:0071038,GO:0071039,SO:0000704
YDL174C	DLD1	DLD1	GO:0004458,GO:0005739,GO:0005739,GO:0005739,GO:0005743,GO:1903457,GO:1903457,SO:0000704
YDL173W	PAR32	PAR32,AMU1	GO:0003674,GO:0005737,GO:0005737,GO:0008150,SO:0000704
YDL172C	YDL172C	-	GO:0003674,GO:0005575,GO:0008150,SO:0000704
YDL171C	GLT1	GLT1	GO:0005739,GO:0005739,GO:0006537,GO:0016040,GO:0016040,GO:0019676,SO:0000704
YDL170W	UGA3	UGA3	GO:0000978,GO:0001010,GO:0001010,GO:0001080,GO:0001228,GO:0005634,GO:0009450,GO:0019740,SO:0000704
YDL169C	UGX2	UGX2	GO:0003674,GO:0005575,GO:0008150,SO:0000704
YDL168W	SFA1	SFA1,ADH5	GO:0000947,GO:0004022,GO:0004022,GO:0005737,GO:0005739,GO:0005739,GO:0033833,GO:0033859,GO:0046294,GO:0051903,SO:0000704
YDL167C	NRP1	NRP1	GO:0003674,GO:0005737,GO:0008150,GO:0010494,GO:0010494,SO:0000704
YDL166C	FAP7	FAP7,nucleoside-triphosphatase	GO:0000462,GO:0000462,GO:0004017,GO:0005634,GO:0005737,GO:0010494,GO:0016887,GO:0034599,SO:0000704
YDL165W	CDC36	CDC36,DNA19,NOT2	GO:0000288,GO:0000288,GO:0000289,GO:0000290,GO:0000749,GO:0003674,GO:0005634,GO:0005737,GO:0006368,GO:0016567,GO:0030015,GO:0031087,GO:0032968,GO:0051726,SO:0000704
YDL164C	CDC9	CDC9,MMS8	GO:0000278,GO:0003910,GO:0003910,GO:0005634,GO:0005739,GO:0005739,GO:0005739,GO:0006266,GO:0006266,GO:0006273,GO:0006273,GO:0006284,GO:0006289,GO:0006310,GO:0035753,SO:0000704
YDL163W	YDL163W	-	GO:0003674,GO:0005575,GO:0008150,SO:0000704
YDL162C	YDL162C	-	GO:0003674,GO:0005575,GO:0008150,SO:0000704
YDL161W	ENT1	ENT1,epsin	GO:0000147,GO:0005737,GO:0005769,GO:0005886,GO:0005934,GO:0005935,GO:0005935,GO:0006897,GO:0007015,GO:0030276,GO:0043130,GO:0043332,SO:0000704
YDL160C-A	MHF2	MHF2	GO:0003674,GO:0006974,GO:0071821,SO:0000704
YDL160C	DHH1	DHH1	GO:0000290,GO:0000932,GO:0000932,GO:0000932,GO:0003682,GO:0003724,GO:0003729,GO:0003729,GO:0005737,GO:0005737,GO:0007124,GO:0010494,GO:0010494,GO:0010603,GO:0010603,GO:0016887,GO:0017148,GO:0033962,GO:0033962,GO:0034063,GO:0034063,GO:0036267,GO:0045727,GO:0045727,GO:0045727,GO:0045900,GO:0045900,GO:0098562,SO:0000704
YDL159W-A	YDL159W-A	-	GO:0003674,GO:0005575,GO:0008150,SO:0000704
YDL159W	STE7	STE7	GO:0000196,GO:0001402,GO:0001403,GO:0001403,GO:0004708,GO:0004708,GO:0005737,GO:0006468,GO:0006468,GO:0007124,GO:0010525,GO:0043332,GO:0043332,GO:0071507,GO:0071507,GO:0071507,GO:0071507,GO:0071507,GO:0071507,GO:0071507,SO:0000704
YDL159C-B	YDL159C-B	-	GO:0003674,GO:0005575,GO:0008150,SO:0000704
YDL158C	YDL158C	-	GO:0003674,GO:0005575,GO:0008150,SO:0000704
YDL157C	YDL157C	-	GO:0003674,GO:0005739,GO:0005739,GO:0005739,GO:0008150,SO:0000704
YDL156W	CMR1	CMR1	GO:0000785,GO:0003677,GO:0005634,GO:0005634,GO:0005737,GO:0005737,GO:0005737,GO:0034399,GO:2000001,SO:0000704
YDL155W	CLB3	CLB3	GO:0000079,GO:0000079,GO:0000086,GO:0005634,GO:0005634,GO:0005634,GO:0005737,GO:0005737,GO:0005737,GO:0005811,GO:0007135,GO:0010696,GO:0010696,GO:0010696,GO:0016538,GO:0016538,GO:1901673,SO:0000704
YDL154W	MSH5	MSH5	GO:0000228,GO:0000400,GO:0000403,GO:0003690,GO:0005634,GO:0007131,GO:0007131,GO:0007131,GO:0062037,GO:0062128,SO:0000704
YDL153C	SAS10	SAS10,UTP3	GO:0000447,GO:0000462,GO:0000462,GO:0000472,GO:0000480,GO:0003674,GO:0005634,GO:0005730,GO:0032040,SO:0000704
YDL152W	YDL152W	-	GO:0003674,GO:0005575,GO:0008150,SO:0000704
YDL151C	BUD30	BUD30	GO:0003674,GO:0005575,GO:0030437,GO:0045944,SO:0000704
YDL150W	RPC53	RPC53,C53,RPC4	GO:0001056,GO:0005666,GO:0005666,GO:0042797,GO:0042797,SO:0000704
YDL149W	ATG9	ATG9,APG9,AUT9,CVT6,CVT7	GO:0000045,GO:0000045,GO:0000045,GO:0000407,GO:0000407,GO:0000407,GO:0000422,GO:0005739,GO:0030659,GO:0032258,GO:0034497,GO:0034727,GO:0044805,GO:0061709,GO:0061908,SO:0000704
YDL148C	NOP14	NOP14,UTP2	GO:0000447,GO:0000462,GO:0000472,GO:0000480,GO:0005730,GO:0005730,GO:0005730,GO:0005739,GO:0005739,GO:0006364,GO:0030686,GO:0030688,GO:0030692,GO:0032040,GO:0034511,GO:0042274,SO:0000704
YDL147W	RPN5	RPN5,NAS5	GO:0000338,GO:0000502,GO:0005515,GO:0008180,GO:0008541,GO:0008541,GO:0034515,SO:0000704
YDL146W	LDB17	LDB17	GO:0003674,GO:0005737,GO:0005933,GO:0005935,GO:0005935,GO:0006897,GO:0030479,SO:0000704
YDL145C	COP1	COP1,RET1,SEC33,SOO1	GO:0006888,GO:0006890,GO:0008298,GO:0030126,GO:0030126,GO:0043130,SO:0000704
YDL144C	YDL144C	-	GO:0003674,GO:0005634,GO:0005737,GO:0008150,SO:0000704
YDL143W	CCT4	CCT4,ANC2,TCP4	GO:0005832,GO:0005832,GO:0006457,GO:0051082,SO:0000704
YDL142C	CRD1	CRD1,CLS1	GO:0000002,GO:0005739,GO:0006612,GO:0006644,GO:0006873,GO:0007006,GO:0008610,GO:0008610,GO:0008808,GO:0008808,SO:0000704
YDL141W	BPL1	BPL1,ACC2	GO:0004077,GO:0005634,GO:0005737,GO:0005737,GO:0009305,GO:0009305,GO:0071734,SO:0000704
YDL140C	RPO21	RPO21,B220,RPB1,RPB220,SIT1,SUA8	GO:0001055,GO:0003677,GO:0003968,GO:0005634,GO:0005665,GO:0005665,GO:0005665,GO:0005739,GO:0005739,GO:0006366,GO:0010494,GO:0019985,SO:0000704
YDL139C	SCM3	SCM3	GO:0000086,GO:0000779,GO:0000779,GO:0000779,GO:0005634,GO:0005737,GO:0007059,GO:0007059,GO:0051382,GO:0071459,GO:0071459,GO:0097030,GO:0097030,GO:2000059,SO:0000704
YDL138W	RGT2	RGT2	GO:0003674,GO:0005886,GO:0010255,GO:0051594,GO:0071944,SO:0000704
YDL137W	ARF2	ARF2	GO:0003924,GO:0005794,GO:0005794,GO:0005829,GO:0016236,SO:0000704
YDL136W	RPL35B	RPL35B,L29,L35B,SOS2,uL29	GO:0000463,GO:0002181,GO:0003735,GO:0022625,GO:0030687,SO:0000704
YDL135C	RDI1	RDI1	GO:0005094,GO:0005829,GO:0005829,GO:0005886,GO:0005934,GO:0005935,GO:0007015,GO:0007015,GO:0007266,GO:0032889,SO:0000704
YDL134C	PPH21	PPH21	GO:0000082,GO:0000159,GO:0004722,GO:0005634,GO:0005737,GO:0006417,GO:0006470,GO:0007015,GO:0007117,GO:0010494,GO:0070262,GO:1903432,GO:2000786,SO:0000704
YDL133C-A	RPL41B	RPL41B,L41B,L41e,L47B,RPL47B,YDL134C-A,YL41,eL41	GO:0002181,GO:0003735,GO:0022625,SO:0000704
YDL133W	SRF1	SRF1	GO:0000324,GO:0003674,GO:0043085,GO:0071944,SO:0000704
